Accession	Name	Description	Source Database
IPR008493	Hikeshi-like, N-terminal domain	This entry represents a domain found at the N-terminal of human Hikeshi and its orthologues OPI10 from other eukaryotes. Hikeshi acts as a specific nuclear import carrier for HSP70 proteins following heat-shock stress; it acts by mediating the nucleoporin-dependent translocation of ATP-bound HSP70 proteins into the nucleus [[cite:PUB00075511]]. The N-terminal domain shows a jelly-roll/β-sandwich fold with two layers of β-sheets consisting of three and five and five antiparallel β-strands [[cite:PUB00101203], [cite:PUB00101202]].	INTERPRO
PF21340	Cip1-like, core domain	This domain is found in Cip1 from Hypocrea jecorina and similar sequences predominantly found in fungi. Cip1 is a cellulose induced protein with a carbohydrate binding module (Pfam:PF00734) connected via a linker region to a domain with yet unknown function (this entry). This domain shows a beta- sandwich jelly-roll fold with two anti-parallel beta-sheets that consist on eight and seven strands and pack on top of one another. Structural analysis suggest it may function as a lyase [[cite:PUB00151763]].	PFAM
cd06124	AraC/XylS family transcriptional regulators similar to NimR, N-terminal cupin domain	"This family contains mostly bacterial proteins containing an AraC/XylS family helix-turn-helix (HTH) DNA-binding domain C-terminal to a cupin domain, and may be possible transcriptional regulators. Included in this family is Escherichia coli HTH-type transcriptional regulator NimR (also called YeaM) that negatively regulates expression of the nimT operon and its own expression. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00076415], [cite:PUB00150134], [cite:PUB00150135], [cite:PUB00007276]]"	CDD
cd07003	Bacillus subtilis YobQ and related proteins, N-terminal cupin domain	"This family includes bacterial proteins homologous to Bacillus subtilis YobQ and Photobacterium leiognathi LumQ, both uncharacterized proteins thought to be DNA-binding proteins that may function as AraC/XylS family transcriptional regulators. YobQ has an N-terminal cupin beta barrel domain (represented by this alignment model) and a C-terminal AraC/XylS family helix-turn-helix (HTH) DNA-binding domain. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372]]"	CDD
cd02222	Thermotoga maritima TM1459 and related proteins, cupin domain	"This family includes bacterial and archaeal proteins homologous to Thermotoga maritima TM1459, a manganese-containing cupin that has been shown to cleave C=C bonds in the presence of alkylperoxide as oxidant in vitro. Its biological function is still unknown. This family also includes Halorhodospira halophila Hhal_0468. Structures of these proteins show a cupin fold with a conserved ""jelly roll-like"" beta-barrel fold that form a homodimer. [[cite:PUB00032095], [cite:PUB00149506], [cite:PUB00149507], [cite:PUB00125100], [cite:PUB00016787], [cite:PUB00149508], [cite:PUB00102372]]"	CDD
cd02182	Streptomyces laminarinase-like, member of glycosyl hydrolase family 16	Proteins similar to Streptomyces sioyaensis beta-1,3-glucanase (laminarinase) present in Actinomycetales as well as Peziomycotina. Laminarinases belong to glycosyl hydrolase family 16 and hydrolyze the glycosidic bond of the 1,3-beta-linked glucan, a major component of fungal and plant cell walls and the structural and storage polysaccharides (laminarin) of marine macro-algae. Members of the GH16 family have a conserved jelly roll fold with an active site channel. [[cite:PUB00115420], [cite:PUB00000503], [cite:PUB00000528], [cite:PUB00000543], [cite:PUB00005266], [cite:PUB00085080]]	CDD
cd20282	dimethylsulfoniopropionate lyase DddQ, cupin domain	"Dimethylsulfoniopropionate (DMSP) is produced worldwide in large amounts, mainly by marine phytoplankton and macroalgae. DMSP lyase catalyzes the cleavage of DMSP to generate the volatile dimethyl sulfide (DMS) and plays a major role in the biogeochemical cycling of sulfur. When released into the atmosphere from the oceans, DMS is oxidized, forming cloud condensation nuclei that may influence weather and climate. DMSP lyase belongs to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00107075], [cite:PUB00076455], [cite:PUB00016787], [cite:PUB00102372], [cite:PUB00103823]]"	CDD
cd20491	Escherichia coli 5-keto-4-deoxyuronate isomerase (KduI) and related proteins, C-terminal cupin domain	"5-keto-4-deoxyuronate isomerase (KduI; EC 5.3.1.17), also called 5-dehydro-4-deoxy-D-glucuronate isomerase or 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase, catalyzes the interconversion of 5-keto-4-deoxyuronate and 2,5-diketo-3-dexoygluconate in the breakdown of pectin. KduI is a bicupin; this model describes the C-terminal cupin domain. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00038353], [cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372], [cite:PUB00103823]]"	CDD
cd20291	soluble periplasm cuproprotein CucA and related proteins, cupin domain	"This family includes bacterial proteins homologous to a soluble periplasm protein, CucA, found in the periplasm of the cyanobacterium Synechocystis where it shows some Cu2+-dependent quercetin dioxygenase activity. Studies show that a copper-trafficking pathway enables Cu2+ occupancy of CucA to accumulate in the periplasm, and this involves two copper transporters (CtaA and PacS) and a metallochaperone (Atx1). CucA belongs to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00055665], [cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372], [cite:PUB00103823]]"	CDD
cd20294	5-keto-4-deoxyuronate isomerase (KduI) and related proteins, N-terminal cupin domain	"5-keto-4-deoxyuronate isomerase (KduI; EC 5.3.1.17), also called 5-dehydro-4-deoxy-D-glucuronate isomerase or 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase, catalyzes the interconversion of 5-keto-4-deoxyuronate and 2,5-diketo-3-dexoygluconate in the breakdown of pectin. KduI is a bicupin; this model describes the N-terminal cupin domain. Proteins in this family belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00038353], [cite:PUB00016787], [cite:PUB00007277], [cite:PUB00102372], [cite:PUB00103823]]"	CDD
cd20289	2-aminoethanethiol dioxygenase, cupin domain	"This family contains 2-aminoethanethiol dioxygenase (also known as cysteamine dioxygenase, persulfurase or ADO; EC 1.13.11.19), which catalyzes the addition of two oxygen atoms to free cysteamine (2-aminoethanethiol) to form hypotaurine that subsequently oxidizes to taurine. These enzymes are found in prokaryotes as well as eukaryotes and belong to the cupin superfamily with a conserved ""jelly roll-like"" beta-barrel fold capable of homodimerization. [[cite:PUB00064753], [cite:PUB00149818], [cite:PUB00007277], [cite:PUB00016787], [cite:PUB00074380], [cite:PUB00149831], [cite:PUB00149832], [cite:PUB00149833], [cite:PUB00149834], [cite:PUB00102372], [cite:PUB00103823]]"	CDD
IPR036371	Thiamin pyrophosphokinase, thiamin-binding domain superfamily	Thiamin pyrophosphokinase (TPK, [ec:2.7.6.2]) catalyzes the transfer of a pyrophosphate group from ATP to vitamin B1 (thiamin) to form the coenzyme thiamin pyrophosphate (TPP). Thus, TPK is important for the formation of a coenzyme required for central metabolic functions. The structure of thiamin pyrophosphokinase suggest that the enzyme may operate by a mechanism of pyrophosphoryl transfer similar to those described for pyrophosphokinases functioning in nucleotide biosynthesis [[cite:PUB00009922]]. TPK is a homodimer, and each subunit consists of two domains. One domain resembles a Rossman fold, while the other domain forms a β-sheet flattened sandwich structure containing a jelly-roll topology. The active site is located in a cleft at the dimer interface and is formed from residues from domains of both subunits.  The thiamin binding site is primarily defined by the sandwich domain of one subunit and by a loop from the α-β domain of the other subunit [[cite:PUB00009922]]. This superfamily describes the jelly-roll sandwich domain.	INTERPRO
IPR015908	Allantoicase domain	"Allantoicase (also known as allantoate amidinohydrolase) is involved in purine degradation, facilitating the utilization of purines as secondary nitrogen sources under nitrogen-limiting conditions. While purine degradation converges to uric acid in all vertebrates, its further degradation varies from species to species. Uric acid is excreted by birds, reptiles, and some mammals that do not have a functional uricase gene, whereas other mammals produce allantoin. Amphibians and microorganisms produce ammonia and carbon dioxide using the uricolytic pathway. Allantoicase performs the second step in this pathway catalyzing the conversion of allantoate into ureidoglycolate and urea.

&lt;reaction&gt;allantoate + H(2)0 = (S)-ureidoglycolate + urea&lt;/reaction&gt;

The structure of allantoicase is best described as being composed of two repeats (the allantoicase repeats: AR1 and AR2), which are connected by a flexible linker. The crystal structure, resolved at 2.4A resolution, reveals that AR1 has a very similar fold to AR2, both repeats being jelly-roll motifs, composed of four-stranded and five-stranded antiparallel β-sheets [[cite:PUB00029326]]. Each jelly-roll motif has two conserved surface patches that probably constitute the active site [[cite:PUB00031044]].

The mammalian proteins matched by this entry are thought to be non-functional as mammals do not appear to possess allantoicase activity [[cite:PUB00053905], [cite:PUB00100275]]."	INTERPRO
IPR042210	Glycoprotein VP7, domain 2	Glycoprotein VP7, also known as outer shell glycoprotein, is a serotype-specific antigen, and is the major neutralisation antigen. It is found in the dsRNA rotaviruses. This superfamily represents the domain 2 found in glycoprotein VP7, it consists of 8 β strands arranged into a jelly-roll β sandwich.	INTERPRO
IPR008035	L-proline 3-hydroxylase, C-terminal	Iron (II)/2-oxoglutarate (2-OG)-dependent oxygenases catalyse oxidative reactions in a range of metabolic processes. Proline 3-hydroxylase hydroxylates proline at position 3, the first of a 2-OG oxygenase catalysing oxidation of a free alpha-amino acid. The structure contains conserved motifs present in other 2-OG oxygenases including a jelly roll strand core and residues binding iron and 2-oxoglutarate, consistent with divergent evolution within the extended family. The structure differs significantly from many other 2-OG oxygenases in possessing a discrete C-terminal helical domain [[cite:PUB00020183]].	INTERPRO
